param:  i:
                  housingspace damage Trainingcostred TrainingcostDark Hitpoint Trainingtime:=
        barbarian 1            34     300             0                205      5
        Archer    1            28     600             0                52       6
        Giant     5            130    4200            0                1850     60
        Goblin    1            52     200             0                101      7
        drag      20           310    22000           0                3900     180
        edrag     30           300    36000           0                4200     360
        baloon    5            236    5500            0                840      30
        pekka     25           310    18000           0                3500     180
        wizard    4            230    4200            0                230      30
        Bowler    6            90     0               140              390      60
        Lava      30           16     0               570              7200     300
        Valkyrie  8            178    0               190              1450     90
        Hog       5            148    0               100              810      45
        Golem     30           40     0               250              5400     300
        Witch     12           180    0               275              480      180
        Minion    2            46     0               7                72       18;
param camp:=286;
param RedElexir:=2000000;
param DarkElexir:=200000;


